C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 213it [00:01, 146.09it/s, loss=-0.447, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 214it [00:01, 146.18it/s, loss=-3.22, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00] 
Epoch 0: : 215it [00:01, 146.16it/s, loss=-3.02, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 216it [00:01, 146.24it/s, loss=-3.14, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 217it [00:01, 146.23it/s, loss=-10.9, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 218it [00:01, 146.31it/s, loss=-11, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]  
Epoch 0: : 219it [00:01, 146.29it/s, loss=-10.9, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 220it [00:01, 146.47it/s, loss=-10.5, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 221it [00:01, 146.45it/s, loss=-3.29, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 222it [00:01, 146.53it/s, loss=-3.33, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 223it [00:01, 146.61it/s, loss=-10.3, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 224it [00:01, 146.69it/s, loss=-10.3, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 224it [00:01, 146.60it/s, loss=-14.1, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
Epoch 0: : 225it [00:01, 146.68it/s, loss=-13.9, v_num=31, train_loss:=-139., loss_ratio:=0.545, avg_winning_turns:=2.900, total wins:=20.00]
