C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 4: : 0it [00:00, ?it/s]
Epoch 4: : 1it [00:00,  9.80it/s]
Epoch 4: : 98it [00:04, 19.83it/s, loss=367, v_num=40]
Epoch 4: : 99it [00:04, 19.85it/s, loss=367, v_num=40]
Epoch 4: : 100it [00:05, 19.87it/s, loss=355, v_num=40]C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\logger_connector\result.py:227: UserWarning: You called `self.log('total wins:', ...)` in your `training_step` but the value needs to be floating point. Converting it to torch.float32.
  warning_cache.warn(

Epoch 4: : 101it [00:05, 19.76it/s, loss=355, v_num=40]
Epoch 4: : 101it [00:05, 19.76it/s, loss=349, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 102it [00:05, 19.78it/s, loss=348, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 103it [00:05, 19.79it/s, loss=334, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 104it [00:05, 19.81it/s, loss=334, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 104it [00:05, 19.81it/s, loss=326, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 105it [00:05, 19.83it/s, loss=328, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 106it [00:05, 19.86it/s, loss=337, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 107it [00:05, 19.86it/s, loss=337, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 107it [00:05, 19.86it/s, loss=328, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 108it [00:05, 19.86it/s, loss=310, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 109it [00:05, 19.86it/s, loss=297, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 110it [00:05, 19.84it/s, loss=297, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 110it [00:05, 19.84it/s, loss=310, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 111it [00:05, 19.78it/s, loss=298, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 112it [00:05, 19.72it/s, loss=281, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 113it [00:05, 19.69it/s, loss=281, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 113it [00:05, 19.69it/s, loss=290, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 114it [00:05, 19.67it/s, loss=283, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 115it [00:05, 19.65it/s, loss=288, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 116it [00:05, 19.68it/s, loss=288, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 116it [00:05, 19.67it/s, loss=284, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 117it [00:05, 19.68it/s, loss=286, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 118it [00:05, 19.68it/s, loss=293, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 119it [00:06, 19.69it/s, loss=293, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 119it [00:06, 19.69it/s, loss=302, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 120it [00:06, 19.66it/s, loss=312, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 121it [00:06, 19.59it/s, loss=319, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 122it [00:06, 19.56it/s, loss=319, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 122it [00:06, 19.56it/s, loss=306, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 123it [00:06, 19.56it/s, loss=318, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 124it [00:06, 19.56it/s, loss=327, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 125it [00:06, 19.54it/s, loss=327, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 125it [00:06, 19.54it/s, loss=324, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 126it [00:06, 19.52it/s, loss=321, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 127it [00:06, 19.52it/s, loss=336, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 128it [00:06, 19.51it/s, loss=336, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
Epoch 4: : 128it [00:06, 19.51it/s, loss=351, v_num=40, train_loss:=304.0, loss_ratio:=0.329, avg_winning_turns:=3.970, total wins:=944.0]
