C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 0: : 0it [00:00, ?it/s]
Epoch 0: : 166it [00:01, 153.14it/s, loss=nan, v_num=23]
Epoch 0: : 166it [00:01, 153.00it/s, loss=nan, v_num=23]
Epoch 0: : 167it [00:01, 153.21it/s, loss=nan, v_num=23]
Epoch 0: : 168it [00:01, 153.28it/s, loss=nan, v_num=23]
Epoch 0: : 169it [00:01, 153.36it/s, loss=nan, v_num=23]
Epoch 0: : 170it [00:01, 153.29it/s, loss=nan, v_num=23]
Epoch 0: : 171it [00:01, 153.36it/s, loss=nan, v_num=23]
Epoch 0: : 172it [00:01, 153.30it/s, loss=nan, v_num=23]
Epoch 0: : 173it [00:01, 153.51it/s, loss=nan, v_num=23]
Epoch 0: : 174it [00:01, 153.57it/s, loss=nan, v_num=23]
Epoch 0: : 175it [00:01, 153.64it/s, loss=nan, v_num=23]
Epoch 0: : 176it [00:01, 153.71it/s, loss=nan, v_num=23]
Epoch 0: : 177it [00:01, 153.78it/s, loss=nan, v_num=23]
Epoch 0: : 178it [00:01, 153.85it/s, loss=nan, v_num=23]
Epoch 0: : 179it [00:01, 154.05it/s, loss=nan, v_num=23]
Epoch 0: : 180it [00:01, 154.24it/s, loss=nan, v_num=23]
Epoch 0: : 181it [00:01, 154.31it/s, loss=nan, v_num=23]
Epoch 0: : 182it [00:01, 154.37it/s, loss=nan, v_num=23]
Epoch 0: : 183it [00:01, 154.17it/s, loss=nan, v_num=23]
Epoch 0: : 184it [00:01, 154.23it/s, loss=nan, v_num=23]
Epoch 0: : 184it [00:01, 154.10it/s, loss=nan, v_num=23]
Epoch 0: : 185it [00:01, 154.17it/s, loss=nan, v_num=23]
Epoch 0: : 186it [00:01, 154.23it/s, loss=nan, v_num=23]
Epoch 0: : 187it [00:01, 154.42it/s, loss=nan, v_num=23]
Epoch 0: : 188it [00:01, 154.48it/s, loss=nan, v_num=23]
