C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:45: LightningDeprecationWarning: Setting `Trainer(resume_from_checkpoint=)` is deprecated in v1.5 and will be removed in v1.7. Please pass `Trainer.fit(ckpt_path=)` directly instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1584: UserWarning: GPU available but not used. Set the gpus flag in your trainer `Trainer(gpus=1)` or script `--gpus=1`.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\trainer.py:1905: LightningDeprecationWarning: `trainer.resume_from_checkpoint` is deprecated in v1.5 and will be removed in v1.7. Specify the fit checkpoint path with `trainer.fit(ckpt_path=)` instead.
  rank_zero_deprecation(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\connectors\checkpoint_connector.py:250: UserWarning: You're resuming from a checkpoint that ended mid-epoch. Training will start from the beginning of the next epoch. This can cause unreliable results if further training is done, consider using an end of epoch checkpoint.
  rank_zero_warn(
C:\Users\hardi\anaconda3\lib\site-packages\pytorch_lightning\trainer\data_loading.py:132: UserWarning: The dataloader, train_dataloader, does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` (try 16 which is the number of cpus on this machine) in the `DataLoader` init to improve performance.
  rank_zero_warn(

Training: 0it [00:00, ?it/s]
Training: 0it [00:00, ?it/s]
Epoch 3: : 0it [00:00, ?it/s]
Epoch 3: : 203it [00:01, 137.53it/s, loss=163, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 204it [00:01, 137.56it/s, loss=163, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 205it [00:01, 137.49it/s, loss=174, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 206it [00:01, 137.43it/s, loss=164, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 207it [00:01, 137.36it/s, loss=150, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 208it [00:01, 137.11it/s, loss=126, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 209it [00:01, 137.05it/s, loss=107, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 210it [00:01, 136.81it/s, loss=132, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 211it [00:01, 136.66it/s, loss=139, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 212it [00:01, 136.60it/s, loss=139, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 212it [00:01, 136.51it/s, loss=146, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 213it [00:01, 136.45it/s, loss=139, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 214it [00:01, 136.31it/s, loss=157, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 215it [00:01, 136.34it/s, loss=191, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 216it [00:01, 136.36it/s, loss=198, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 217it [00:01, 136.39it/s, loss=175, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 218it [00:01, 136.51it/s, loss=139, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 219it [00:01, 136.45it/s, loss=139, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 220it [00:01, 136.31it/s, loss=151, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 221it [00:01, 136.34it/s, loss=152, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 222it [00:01, 136.28it/s, loss=135, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 223it [00:01, 136.31it/s, loss=155, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 224it [00:01, 136.34it/s, loss=150, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
Epoch 3: : 225it [00:01, 136.45it/s, loss=154, v_num=39, train_loss:=394.0, loss_ratio:=0.271, avg_winning_turns:=3.540, total wins:=35.00]
